Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.88, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.88, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.88, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.87, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 68.70, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.19, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 69.73, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 65.65, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 65.65, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 65.65, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 65.07, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 61.23, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 61.23, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.76, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.76, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 60.33, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.76, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.76, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.41, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.41, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 63.14, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 66.58, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 66.58, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 66.58, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
Command is SENSORS-ENABLE, -0.01, -0.20, -0.43, 66.58, 1.49, 4.08, 5.97, -0.52, 1.06, 0.00, 0.00, 0.00
